City,STATE,MAT,INST,TOTAL,MAT_B10,INST_B10,TOTAL_B10
BIRMINGHAM,ALABAMA,99.4,71,87.8,100.2,81.2,94.4
HUNTSVILLE,ALABAMA,98.1,70.1,86.7,100,84.1,95.2
MOBILE,ALABAMA,98.4,68.2,86.1,99.9,82.5,94.6
MONTGOMERY,ALABAMA,98.8,71.7,87.8,100.1,81.1,94.3
TUSCALOOSA,ALABAMA,98.1,70.2,86.8,99.9,82.3,94.6
ANCHORAGE,ALASKA,117.1,108.7,113.7,126.5,107.4,120.7
FAIRBANKS,ALASKA,117.8,109.2,114.3,122.8,108.3,118.4
JUNEAU,ALASKA,118.2,108.7,114.3,122.7,107.4,118.1
FLAGSTAFF,ARIZONA,100.4,71.5,88.6,95.1,72,88.1
MESA,ARIZONA,96.2,70.5,85.7,93,71.2,86.3
PHOENIX,ARIZONA,98.8,72.6,88.1,99.3,73.7,91.5
PRESCOTT,ARIZONA,98.1,70.3,86.8,94.8,70.7,87.5
TUCSON,ARIZONA,95.1,71.9,85.7,93.1,73.7,87.2
FORTSMITH,ARKANSAS,94.3,61.6,81,89.7,70,83.7
JONESBORO,ARKANSAS,93.4,65.2,81.9,83.9,78.7,82.3
LITTLEROCK,ARKANSAS,95.3,62.7,82,89.5,70.1,83.6
PINEBLUFF,ARKANSAS,94.2,62.4,81.3,91.1,70.8,84.9
TEXARKANA,ARKANSAS,92.8,63.2,80.8,86.4,70.8,81.7
ANAHEIM,CALIFORNIA,99.1,124.9,109.6,104.5,124.4,110.5
BAKERSFIELD,CALIFORNIA,98.5,124.1,108.9,99,122.8,106.3
FRESNO,CALIFORNIA,97.7,128.9,110.4,99.9,129.6,108.9
LOSANGELES,CALIFORNIA,102,129.6,113.2,104.8,126.7,111.5
OAKLAND,CALIFORNIA,100.1,151.6,121.1,96.6,135.1,108.3
OXNARD,CALIFORNIA,97.4,125.4,108.8,97.1,124.2,105.4
REDDING,CALIFORNIA,105.7,131.4,116.2,103.5,129.5,111.4
RIVERSIDE,CALIFORNIA,98.9,124.9,109.5,104.5,124.4,110.5
SACRAMENTO,CALIFORNIA,97,132.8,111.6,90.8,127.7,102.1
SANDIEGO,CALIFORNIA,102.4,122.2,110.4,103.3,121.8,108.9
SANFRANCISCO,CALIFORNIA,105,160.3,127.5,105.9,138.7,115.9
SANJOSE,CALIFORNIA,102.3,154.3,123.5,101.3,137.9,112.4
SANTABARBARA,CALIFORNIA,96.9,124.5,108.1,98.2,124.3,106.1
STOCKTON,CALIFORNIA,100,131.6,112.8,100.8,130.1,109.7
VALLEJO,CALIFORNIA,97.4,141.6,115.4,95.8,131.7,106.7
COLORADOSPRINGS,COLORADO,98.8,71.8,87.9,93.3,75,87.7
DENVER,COLORADO,103.1,75.3,91.8,101.7,74.6,93.4
FORTCOLLINS,COLORADO,99.7,73.9,89.2,93.4,74.4,87.6
GRANDJUNCTION,COLORADO,102.9,70.6,89.8,98.8,74.8,91.5
GREELEY,COLORADO,97,73.9,87.6,91.1,74.4,86
PUEBLO,COLORADO,99.5,70.6,87.7,98.7,75.7,91.7
BRIDGEPORT,CONNECTICUT,98.3,115.2,105.2,96.3,119.1,103.3
BRISTOL,CONNECTICUT,97.7,115.4,104.9,95.7,119,102.8
HARTFORD,CONNECTICUT,99.3,115.9,106.1,98.4,118.3,104.4
NEWBRITAIN,CONNECTICUT,97,115.4,104.5,92.8,119,100.8
NEWHAVEN,CONNECTICUT,98.6,115.1,105.3,93.1,118.7,100.9
NORWALK,CONNECTICUT,97.9,115.4,105,96.1,119.4,103.2
STAMFORD,CONNECTICUT,98,115.8,105.3,96.3,119.4,103.3
WATERBURY,CONNECTICUT,98,115.1,105,96.3,119,103.2
WASHINGTON,D.C,102.7,88.5,96.9,104.1,87.1,98.9
WILMINGTON,DELAWARE,98.9,111.1,103.8,98.7,114.4,103.5
DAYTONABEACH,FLORIDA,97.9,69.1,86.2,99,76.8,92.2
FORTLAUDERDALE,FLORIDA,97.3,67.8,85.3,96.4,76.5,90.4
JACKSONVILLE,FLORIDA,97.7,66.9,85.2,98,76.1,91.3
MELBOURNE,FLORIDA,101.1,70.8,88.8,107,78.7,98.4
MIAMI,FLORIDA,97.5,70.1,86.4,97.3,76.1,90.8
ORLANDO,FLORIDA,99.7,66.5,86.2,98.7,76.2,91.8
PANAMA CIT,FLORIDA,99.4,67,86.2,99.2,78.5,92.9
PENSACOLA,FLORIDA,101.8,64.6,86.7,102.6,77.8,95
ST. PETERSBURG,FLORIDA,101.2,65.6,86.7,99.5,80,93.6
TALLAHASSEE,FLORIDA,99,66.9,86,99.6,75.4,92.2
TAMPA,FLORIDA,99,67.4,86.2,98.9,81.1,93.5
ALBANY,GEORGIA,97.6,70.7,86.6,102.6,83.6,96.8
ATLANTA,GEORGIA,102.2,75.4,91.3,102.3,78.5,95
AUGUSTA,GEORGIA,98.1,72.2,87.6,95.2,77.5,89.8
COLUMBUS,GEORGIA,97.5,72.2,87.2,102.4,84.9,97.1
MACON,GEORGIA,95.9,72.7,86.4,97.8,84.6,93.7
SAVANNAH,GEORGIA,98.2,71.9,87.5,100.5,83.5,95.3
VALDOSTA,GEORGIA,97.5,70.2,86.4,100.5,81.8,94.8
HONOLULU,HAWAII,119.3,115.8,117.9,126.4,112.5,122.2
"STATES & POSS., GUAM",HAWAII,136.6,61.9,106.2,143.9,76.6,123.4
BOISE,IDAHO,99.5,78.3,90.9,99.8,82.2,94.4
LEWISTON,IDAHO,104.7,85.6,97,95.2,88.7,93.2
POCATELLO,IDAHO,100.5,78.2,91.4,105.9,82,98.6
TWINFALLS,IDAHO,101,78.1,91.7,106.1,82.1,98.8
CHICAGO,ILLINOIS,98.5,144.8,117.3,98.7,152.3,115
DECATUR,ILLINOIS,96.9,107.1,101.1,99.5,117.3,104.9
EAST ST. LOUIS,ILLINOIS,94,109,100.1,95.2,124.1,104
JOLIET,ILLINOIS,95.1,143.9,115,91.7,149,109.2
PEORIA,ILLINOIS,96,109.8,101.6,92.8,121.4,101.5
ROCKFORD,ILLINOIS,95.1,129.5,109.1,92.8,141,107.5
SPRINGFIELD,ILLINOIS,98,107.9,102,97,115.9,102.8
ANDERSON,INDIANA,94,78.7,87.8,95.2,83.3,91.6
BLOOMINGTON,INDIANA,96.7,79.6,89.7,95,78.2,89.9
EVANSVILLE,INDIANA,94.2,85.4,90.7,89.4,88.5,89.1
FORTWAYNE,INDIANA,94.6,78.7,88.2,95.8,83.9,92.2
GARY,INDIANA,95.2,103.1,98.4,95.5,106.2,98.8
INDIANAPOLIS,INDIANA,97.9,83.2,91.9,95.7,80.5,91
MUNCIE,INDIANA,95.3,77.2,87.9,96.6,83,92.5
SOUTHBEND,INDIANA,97.4,81.7,91,98.3,90,95.7
