City,State,Page,MAT0320,INST0320,TOTAL0320,MAT07,INST07,TOTAL07,MAT,INST,TOTAL
30 CITY Average,ALABAMA,1,100,100,100,100,100,100,100,100,100
ANNISTON,ALABAMA,1,88.4,69,82.2,98.2,60.7,81.8,97.5,65.3,84.4
BIRMINGHAM,ALABAMA,1,99,69.2,89.4,99.5,66.5,85,99.4,71,87.8
BUTLER,ALABAMA,1,93.2,69.9,85.7,98.2,64.3,83.3,97.4,68.2,85.5
DECATUR,ALABAMA,1,92.2,66.8,84.1,96.5,63.8,82.1,98.1,68.6,86.1
DOTHAN,ALABAMA,1,93.2,69.3,85.5,98.3,63.9,83.2,97.8,71.7,87.1
EVERGREEN,ALABAMA,1,93.3,69.9,85.7,98.1,63.3,82.8,97.2,66.4,84.7
GADSDEN,ALABAMA,1,97.4,69.2,88.3,96.6,64.2,82.4,98.2,69.8,86.6
HUNTSVILLE,ALABAMA,1,92.2,77.2,87.4,96.4,64.3,82.3,98.1,70.1,86.7
JASPER,ALABAMA,1,92.2,69.1,84.8,96.7,63.5,82.2,98.7,68.2,86.3
MOBILE,ALABAMA,1,91.5,69.9,84.6,97.9,63.8,82.9,98.4,68.2,86.1
MONTGOMERY,ALABAMA,1,100.5,69.2,90.5,98.9,66.2,84.6,98.8,71.7,87.8
PHENIXCITY,ALABAMA,1,93.2,66.6,84.7,98.6,64.2,83.6,98.1,69.7,86.5
SELMA,ALABAMA,1,93.2,69.1,85.5,98,64,83.1,97.3,69.8,86.1
TUSCALOOSA,ALABAMA,1,92.2,69.2,84.8,96.5,64.6,82.5,98.1,70.2,86.8
ANCHORAGE,ALASKA,1,124.6,118.4,122.6,134.6,111.6,124.5,117.1,108.7,113.7
FAIRBANKS,ALASKA,1,120.1,118.4,119.5,143.8,110.2,129.1,117.8,109.2,114.3
JUNEAU,ALASKA,1,124.6,118.4,122.6,145.8,111.6,130.8,118.2,108.7,114.3
KETCHIKAN,ALASKA,2,94.6,118.4,102.3,151.1,109.9,133,128.9,109.3,120.9
CHAMBERS,ARIZONA,2,89.8,73.3,84.5,101.8,68.1,87,96.5,70.3,85.8
FLAGSTAFF,ARIZONA,2,89.7,73.4,84.5,103.9,69.5,88.8,100.4,71.5,88.6
GLOBE,ARIZONA,2,83.4,73.3,80.1,99.7,66.8,85.3,96.3,69.8,85.5
KINGMAN,ARIZONA,2,89.9,73.3,84.5,101.7,67.9,86.9,96.3,69,85.2
MESA/TEMPE,ARIZONA,2,83.9,73.3,80.5,99.4,67.5,85.4,96.2,70.5,85.7
PHOENIX,ARIZONA,2,80.1,73.4,77.9,100.3,69.8,86.9,98.8,72.6,88.1
PRESCOTT,ARIZONA,2,89.7,73.3,84.4,102.4,68.8,87.7,98.1,70.3,86.8
SHOWLOW,ARIZONA,2,83.9,73.3,80.5,100.1,66.8,85.5,96.7,69.9,85.8
TUCSON,ARIZONA,2,68.9,73.4,70.3,100.5,68.9,86.6,95.1,71.9,85.7
BATESVILLE,ARKANSAS,2,97.1,65.9,87.1,103.2,59.7,84.1,91.1,61.7,79.1
CAMDEN,ARKANSAS,2,96.6,67,87.1,98.5,60.3,81.7,92.3,62.7,80.3
FAYETTEVILLE,ARKANSAS,2,97.1,63.7,86.4,104.1,60.3,84.9,90.2,62.9,79.1
FORTSMITH,ARKANSAS,2,98.3,64.7,87.5,104.8,60.1,85.2,94.3,61.6,81
HARRISON,ARKANSAS,2,96.7,67,87.1,103.6,60.3,84.6,92.5,61,79.7
HOTSPRINGS,ARKANSAS,2,94.9,66.8,85.8,98.7,59.3,81.4,91.7,61.9,79.6
JONESBORO,ARKANSAS,2,94.5,66.7,85.6,108.5,60.1,87.3,93.4,65.2,81.9
LITTLEROCK,ARKANSAS,2,99.6,67.2,89.2,98.7,61.7,82.5,95.3,62.7,82
PINEBLUFF,ARKANSAS,3,96.6,67.2,87.2,98.8,60.4,82,94.2,62.4,81.3
RUSSELLVILLE,ARKANSAS,3,97.7,66.8,87.8,104.4,59.3,84.6,91.5,60.8,79
TEXARKANA,ARKANSAS,3,96.1,67.3,86.8,99.7,60.1,82.3,92.8,63.2,80.8
WESTMEMPHIS,ARKANSAS,3,94.5,59,83.1,109.2,59.2,87.3,93,66.8,82.4
ALHAMBRA,CALIFORNIA,3,103.6,130.4,112.2,93.5,130.2,109.6,97,127.8,109.5
