functionality,component,unit,installation cost proportion,Demolish cost as ratio of installation,Cost portion in the building,installation cost DS1,installation cost DS2,installation cost DS3,demolish cost DS1,demolish cost DS2,demolish cost DS3,redesign DS1,redesign DS2,redesign DS3,rapid_permit DS1,rapid_permit DS2,rapid_permit DS3,full_permit DS1,full_permit DS2,full_permit DS3,,labor lower limit,labor upper limit,labor mean
structural,floor,sqft,0.31,0.5,0.175,0.028,0.088,0.175,0.014035088,0.043859649,0.087719298,0,0,1,0,0,1,0,0,1,,70,110,90
Fire protection,column and beam fire protection,sqft,0.66,0.5,0.01,0.01,0.01,0.01,0.005,0.005,0.005,0,0,1,0,0,1,0,0,0,,,,
exterior,windowns,sqft,0.3,0.5,0.113,0.113,0.113,0.113,0.056535088,0.056535088,0.056535088,0,0,1,0,0,1,0,0,1,,,,
exterior,Doors,sqft,0.25,0.5,0.008,0.008,0.008,0.008,0.003815789,0.003815789,0.003815789,0,0,1,0,0,1,0,0,1,,,,
exterior,Roof Coverings,sqft,0.25,0.5,0.004,0.004,0.004,0.004,0.001754386,0.001754386,0.001754386,0,0,1,0,0,1,0,0,0,,,,
interior,Partitions,sqft,0.72,0.5,0.019,0.019,0.019,0.019,0.009517544,0.009517544,0.009517544,0,0,1,0,0,1,0,0,0,,,,
interior,Interior Doors,sqft,0.25,0.5,0.031,0.031,0.031,0.031,0.015438596,0.015438596,0.015438596,0,0,1,0,0,1,0,0,0,,,,
interior,Fittings,sqft,0.3,0.5,0.01,0.01,0.01,0.01,0.005087719,0.005087719,0.005087719,0,0,1,0,0,1,0,0,0,,,,
interior,Wall Finishes,sqft,0.33,0.5,0.008,0.008,0.008,0.008,0.003947368,0.003947368,0.003947368,0,0,1,0,0,1,0,0,0,,,,
interior,Floor Finishes,sqft,0.31,0.5,0.044,0.044,0.044,0.044,0.021973684,0.021973684,0.021973684,0,0,1,0,0,1,0,0,0,,,,
interior,Ceiling Finishes,sqft,0.3,0.5,0.065,0.065,0.065,0.065,0.032719298,0.032719298,0.032719298,0,0,1,0,0,1,0,0,0,,,,
Services,Plumbing Fixtures,sqft,0.25,0.5,0.053,0.053,0.053,0.053,0.026710526,0.026710526,0.026710526,0,0,1,0,0,1,0,0,0,,,,
Services,Electrical Service/Distribution,sqft,0.24,0.5,0.006,0.006,0.006,0.006,0.002938596,0.002938596,0.002938596,0,0,1,0,0,1,0,0,0,,,,
Services,Lighting and Branch Wiring,sqft,0.59,0.5,0.135,0.135,0.135,0.135,0.067675439,0.067675439,0.067675439,0,0,1,0,0,1,0,0,0,,,,
Services,Other Electrical Systems,sqft,0.21,0.5,0.006,0.006,0.006,0.006,0.002807018,0.002807018,0.002807018,0,0,1,0,0,1,0,0,0,,,,
Equipment & Furnishings,content,sqft,0.21,0.5,0.006,0.006,0.006,0.006,0.002807018,0.002807018,0.002807018,0,0,1,0,0,1,0,0,0,,,,
